date,ip,loc,lat,long,Date,Day
2021-06-23 16:50:03 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-23 16:50:03+00:00,2021-06-23
2021-06-23 19:19:12 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-23 19:19:12+00:00,2021-06-23
2021-06-23 21:19:12 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-23 21:19:12+00:00,2021-06-23
2021-06-23 23:41:19 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-23 23:41:19+00:00,2021-06-23
2021-06-24 02:10:18 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-24 02:10:18+00:00,2021-06-24
2021-06-24 05:13:50 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-24 05:13:50+00:00,2021-06-24
2021-06-24 06:53:07 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-24 06:53:07+00:00,2021-06-24
2021-06-24 08:39:37 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-24 08:39:37+00:00,2021-06-24
2021-06-24 11:19:34 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-24 11:19:34+00:00,2021-06-24
2021-06-24 12:37:12 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-24 12:37:12+00:00,2021-06-24
2021-06-24 16:12:39 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-24 16:12:39+00:00,2021-06-24
2021-06-24 17:50:19 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-24 17:50:19+00:00,2021-06-24
2021-06-24 18:56:41 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-24 18:56:41+00:00,2021-06-24
2021-06-24 20:04:01 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-24 20:04:01+00:00,2021-06-24
2021-06-24 22:15:02 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-24 22:15:02+00:00,2021-06-24
2021-06-25 03:23:40 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-25 03:23:40+00:00,2021-06-25
2021-06-25 04:24:05 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-25 04:24:05+00:00,2021-06-25
2021-06-25 06:31:04 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-25 06:31:04+00:00,2021-06-25
2021-06-25 08:17:52 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-25 08:17:52+00:00,2021-06-25
2021-06-25 12:01:10 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-25 12:01:10+00:00,2021-06-25
2021-06-25 13:23:42 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-25 13:23:42+00:00,2021-06-25
2021-06-25 14:27:06 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-25 14:27:06+00:00,2021-06-25
2021-06-25 16:33:07 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-25 16:33:07+00:00,2021-06-25
2021-06-25 18:05:43 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-25 18:05:43+00:00,2021-06-25
2021-06-25 19:11:06 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-25 19:11:06+00:00,2021-06-25
2021-06-25 21:23:47 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-25 21:23:47+00:00,2021-06-25
2021-06-25 22:27:55 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-25 22:27:55+00:00,2021-06-25
2021-06-26 00:25:00 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-26 00:25:00+00:00,2021-06-26
2021-06-26 01:33:03 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-26 01:33:03+00:00,2021-06-26
2021-06-26 02:40:41 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-26 02:40:41+00:00,2021-06-26
2021-06-26 06:19:56 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-26 06:19:56+00:00,2021-06-26
2021-06-26 07:52:58 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-26 07:52:58+00:00,2021-06-26
2021-06-26 09:51:00 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-26 09:51:00+00:00,2021-06-26
2021-06-26 12:17:46 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-26 12:17:46+00:00,2021-06-26
2021-06-26 13:49:14 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-26 13:49:14+00:00,2021-06-26
2021-06-26 15:06:58 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-26 15:06:58+00:00,2021-06-26
2021-06-26 16:15:18 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-26 16:15:18+00:00,2021-06-26
2021-06-26 17:31:30 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-26 17:31:30+00:00,2021-06-26
2021-06-26 18:31:50 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-26 18:31:50+00:00,2021-06-26
2021-06-26 21:18:04 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-26 21:18:04+00:00,2021-06-26
2021-06-26 22:19:49 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-26 22:19:49+00:00,2021-06-26
2021-06-27 00:50:00 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-27 00:50:00+00:00,2021-06-27
2021-06-27 01:50:17 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-27 01:50:17+00:00,2021-06-27
2021-06-27 03:33:41 UTC,208.75.19.158,"Ann Arbor, Michigan",42.2709,-83.7282,2021-06-27 03:33:41+00:00,2021-06-27
