City,Restaurant ID,Restaurant Name,Order Time
Ann Arbor,a4c22b51-1e46-4d5e-9d37-385759a3c3a5,The Jagged Fork,2021-10-03 18:14:51
Ann Arbor,480bb4f4-4944-4fb2-bcd8-dd76dfe58f48,McDonald's® (State & State),2021-09-12 22:33:18
Cincinnati,2ac900af-12ad-46aa-9bc1-7960ab3261cc,McDonald's® (Philadelphia & 3rd St),2021-09-02 12:10:34
Cincinnati,b9326a5a-e7dc-4968-b6f1-4835af890638,First Watch (Cincinnati),2021-08-24 15:19:41
Chicago,6ba078e9-ed83-4628-915a-eb87b056f19b,Sharks Fish And Chicken (147 And Kedzie),2021-08-17 19:57:47
Cincinnati,2ac900af-12ad-46aa-9bc1-7960ab3261cc,McDonald's® (Philadelphia & 3rd St),2021-07-30 13:34:10
Cincinnati,c6b7934d-54d1-4fc3-81a6-26ccf01c7d62,IHOP (Pavilion Pkwy),2021-07-29 15:32:45
Cincinnati,7ebcad95-0803-460d-a96e-3718defa27d7,Fusabowl (Cincinnati),2021-07-20 18:17:54
Cincinnati,2ac900af-12ad-46aa-9bc1-7960ab3261cc,McDonald's® (Philadelphia & 3rd St),2021-07-15 10:39:51
Chicago,ab7c5582-09f8-4722-acb9-ae42330ef631,Harold's Chicken (Cicero & 137th St),2021-06-23 20:51:35
Chicago,44e673ce-b471-44c7-bca1-22c4ab3abbe0,The Original Pancake House (5140 159th St),2021-06-14 17:09:29
Cincinnati,5010dd17-3663-4075-9aeb-95dc88ab8cf4,Popeyes (502 Main St),2021-06-09 20:29:46
Cincinnati,d59ed6bf-44e2-41b3-8cd1-957375f22c10,Popeyes (7131 Reading Rd),2021-05-24 00:23:37
Cincinnati,8ba6aaa3-1a0f-409c-984e-a0fd51d7461a,Alabama Que,2021-05-21 20:04:43
Cincinnati,2ac900af-12ad-46aa-9bc1-7960ab3261cc,McDonald's® (Philadelphia & 3rd St),2021-05-20 13:58:42
Chicago,009a1495-cb05-4b3d-9cbd-94f161f2c440,McDonald's® (Dixie & 147th St),2021-05-14 14:23:19
